1956-07-01 13:00,"{'4337': 6.43893138127342, '4180': 3.391242672651174, '3987': 3.734479982988752, '4209': 17.385242159642274, '4055': 26.47252431468587, 'kuujjuaq_a_2': 2.8565020693686876, 'quebec_jean_lesage_intl_a': 21.738585295479993, 'nitchequon': 18.243035452017196, '4168': 17.497317114486876, '4201': 10.440426888691249, 'inukjuak_ua': 1.693219982691744, '3914': 36.009253398157156, 'sept_iles_a': 27.93503356174125, 'lake_eon': 28.37350675704178, '4716': 10.019359660101102, 'grindstone_island': 22.063500422313112, '5051': 14.360227754270596, 'schefferville_a3': 8.305956099908414, '3969': 18.315849602428372, 'val_dor_a3': 3.6270549683501656, 'mont_joli_a_2': 20.242535060414056}",15.197323076128729
1957-07-01 13:00,"{'rouyn_a': 2.861817897160421, 'montreal_st_hubert_a': 6.56894228616887, '5126': 13.677065329168592, 'sept_iles_a': 25.551506547946303, 'grindstone_island': 9.348652340009778, '4538': 9.310497407346155, 'kuujuarapik_a': 27.944907993820784, '4055': 6.964893712034211, '4168': 7.329056651214572, '4716': 3.212835533208839, '4201': 11.224415547756884, '4157': 1.6106779045065451, 'lake_eon': 2.546476622837716, '3969': 1.5704907998242774, 'mont_joli_a_2': 8.072343927192392, '3987': 14.80712516111111, 'nitchequon': 16.064098007617588, 'kuujjuaq_a_2': 20.297667124381675, 'schefferville_a3': 15.256627919359588, '3914': 2.7640605447723985, 'maniwaki_airport_ua': 2.9271690910222645, 'bagotville_a': 22.155102564176097, 'inukjuak_ua': 4.45811515500354, 'parent': 29.36365374630664}",11.078674992247803
1958-07-01 13:00,"{'montreal_st_hubert_a': 1.7895141500958403, 'kuujjuaq_a_2': 0.02151349814312198, '4132': 3.6200482280448085, 'lake_eon': 18.536574847541004, '3960': 9.936857391331188, 'quebec_jean_lesage_intl_a': 4.791635921110341, '4716': 18.437200076666173, '4157': 8.640419725968698, '4477': 10.62796128772304, 'mont_joli_a_2': 4.178998717284912, '3926': 21.731914809158695, 'kuujuarapik_a': 20.33847003093696, 'inukjuak_ua': 14.02948597880335, '4168': 4.038499623539067, 'val_dor_a3': 14.841410258215447, 'parent': 4.131846425977955, '3914': 26.390235561286673, '4029': 3.336852698040886, '3919': 15.56033524191838, 'schefferville_a3': 18.907335435267754, 'nitchequon': 8.557651426427071, 'maniwaki_airport_ua': 6.25334776207707, 'sept_iles_a': 12.370291759098365, '4055': 8.03588858271688}",10.796012059890572
1959-07-01 13:00,"{'4145': 32.82617591972887, '4055': 0.5627257043185736, '3926': 22.33507073624348, 'inukjuak_ua': 33.76247872164315, 'sept_iles_a': 9.904645844710345, 'quebec_jean_lesage_intl_a': 13.917577888154057, 'kuujjuaq_a_2': 17.491602985711012, '3914': 15.925332579410451, '3960': 6.859040478546532, 'mont_joli_a_2': 10.47945984663798, 'parent': 2.184430141223821, '4716': 4.47960508282047, '5043': 12.036534492770457, 'kuujuarapik_a': 2.769200771307439, 'montreal_st_hubert_a': 5.970224395295055, 'nitchequon': 8.151101349706941, '3987': 20.314818022919454, '4157': 2.904379518786911, '4209': 18.55996866083302, '3919': 28.167661282760903, 'lake_eon': 5.472552038108077, 'schefferville_a3': 12.594049531255095, '4168': 7.937610796686471, 'maniwaki_airport_ua': 6.040736575071847}",12.568624306860434
1960-07-01 13:00,"{'5051': 10.36422969703328, '4337': 13.05547423659165, 'lake_eon': 27.541125857519738, 'kuujuarapik_a': 13.597793139581263, '3969': 7.630278250002171, '3926': 33.192419112294225, 'quebec_jean_lesage_intl_a': 14.4030291688725, '4132': 7.018592497949157, 'sept_iles_a': 4.012014009954385, '3987': 6.396742858796479, '3919': 3.905552358677255, 'schefferville_a3': 33.16664039931501, 'nitchequon': 12.855925692168036, 'mont_joli_a_2': 6.939279296735599, '4716': 25.240476409465067, 'inukjuak_ua': 7.041001896900582, '3914': 11.931340594937133, 'kuujjuaq_a_2': 28.644143943639833, '4180': 17.06278458251041, '4168': 0.4744529176664898, '4055': 16.15528235658691, 'val_dor_a3': 6.484269218247185}",13.959674931611106
1961-07-01 13:00,"{'4145': 0.04959716143022064, '3914': 19.89329340851193, '4157': 20.203565070777167, 'port_menier_2': 34.01985945912864, '5085': 11.434307894919371, 'quebec_jean_lesage_intl_a': 11.986093540715345, '3987': 28.68769329449583, '4168': 2.739021157212811, 'montreal_pierre_trudeau_intl_a': 6.592588494610183, 'baie_comeau_a_2': 27.225629828253126, 'lake_eon': 24.948844235688156, 'kuujjuaq_a_2': 13.93385417835298, '3919': 21.457770138043408, 'inukjuak_ua': 3.5827984151209833, '4716': 5.314550851487041, '4209': 8.280622303459467, '4055': 22.3980392571929, 'nitchequon': 4.960837122483348, 'schefferville_a3': 35.496911823163764, 'kuujuarapik_a': 25.985304414162307, '3960': 30.38967016080926, '3926': 26.716243130796258}",17.558958879127932
1962-07-01 13:00,"{'montreal_pierre_trudeau_intl_a': 7.852998651912955, '4692': 0.7762294576443125, '4093': 4.469933709650732, 'schefferville_a3': 31.413414353476902, '4145': 2.27592903305073, 'lake_eon': 20.450147742547443, '4477': 5.66939928329333, 'inukjuak_ua': 25.92055042691623, 'sept_iles_a': 17.531195832182085, '4029': 11.80122668363176, '4157': 7.432296719326345, 'mont_joli_a_2': 0.05427493629925806, '3969': 9.125758507163859, '3914': 7.958082719176012, 'bagotville_a': 1.3862733682268953, '4168': 18.213667744575055, '4055': 7.508539464609605, 'kuujuarapik_a': 32.00024901178988, '3926': 19.859115887512736, 'nitchequon': 26.482196660485975, '3919': 0.9305841250859075, '4716': 22.467768427650228, 'kuujjuaq_a_2': 13.456387879760143}",12.827661766346452
1963-07-01 13:00,"{'port_menier_2': 4.371200574578317, '4802': 3.6071425292872377, '4180': 1.7786540440653837, 'manicouagan_a': 27.28040544799309, '3960': 9.30118068036522, '4132': 3.9771943073639733, 'nitchequon': 6.160536051780731, '5043': 10.139685123132566, 'montreal_pierre_trudeau_intl_a': 8.743813267051735, 'lake_eon': 21.058849442502797, '4029': 7.3273271260616255, '3926': 18.83500613690822, '4055': 14.481536222715526, 'chapais_2': 25.147204453162544, 'kuujuarapik_a': 14.607838810875016, '4093': 2.3779561263303535, 'mont_joli_a_2': 7.077593832714172, '4716': 5.544991170956571, 'schefferville_a3': 14.230089891832037, 'quebec_jean_lesage_intl_a': 36.04983907706216, '3914': 13.282903476486979, '3919': 0.545350752530311, 'kuujjuaq_a_2': 4.262200375673537, '4168': 4.372959102096665, 'inukjuak_ua': 0.8036501422704703, 'val_dor_a3': 0.6547742070440137}",10.23153393741697
1964-07-01 13:00,"{'baie_comeau_a_2': 27.554185262977292, 'sherbrooke_a': 3.0458442975433826, '4692': 0.8259417351736786, '4168': 7.808526379642458, 'schefferville_a3': 2.4956682492068225, '5043': 4.617812906239848, 'val_dor_a3': 3.488149795337911, '4538': 14.565521749443569, '4055': 24.93344942868145, 'inukjuak_ua': 38.951415103644145, '4180': 4.3884618416841334, 'kuujjuaq_a_2': 21.865506514041144, '3926': 9.451893816331513, '4093': 0.6576171433708282, '3987': 0.9037434787954552, '4201': 5.462141986346005, 'chapais_2': 13.836323759044362, '3923': 6.667737078147773, 'lake_eon': 14.669442801921946, 'maniwaki_airport_ua': 9.048233291498804, '3914': 12.386810600120171, 'nitchequon': 7.674750446105833, 'bagotville_a': 10.347690026594755, 'port_menier_2': 27.567341211924052, 'kuujuarapik_a': 9.646650005757515, '3919': 3.9187261453721334, '4716': 20.130576006769743}",11.367043002285804
1965-07-01 13:00,"{'5085': 15.772313138469002, 'chapais_2': 1.0760603739561674, '4029': 10.123380727094947, 'val_dor_a3': 5.618426918954384, 'riviere_du_loup': 4.530842225152533, '4132': 9.04817195359189, '3969': 39.56822545358168, 'sherbrooke_a': 0.8988117526896957, '4055': 6.045316757744956, 'inukjuak_ua': 3.101754379786236, 'sept_iles_a': 15.217536501157426, 'lake_eon': 28.634852632561923, 'schefferville_a3': 0.9297685722459761, '4093': 0.22348557960210513, 'kuujuarapik_a': 44.597523464529075, '4180': 4.698767347833439, '3926': 7.2038613365244615, 'kuujjuaq_a_2': 4.664618070384861, 'maniwaki_airport_ua': 9.495220415707124, 'border_a': 6.470273365880821, '3914': 2.7751856990833588, '4716': 10.958996311665622, 'nitchequon': 12.651669958049148, '3919': 1.8473749692679817, '4168': 3.5446689304325147}",9.987884273437894
