1956-07-01 13:00,"{'5607': 4.5874358825312935, '4688': 25.847799400744258, '5222': 7.372264532341861, '4535': 25.61847103505198, '5920': 10.99508200518773, '4132': 10.783826470875113, '3923': 16.899313633345024, '5798': 9.144256456846524, '6094': 0.5432375548151196, '5768': 12.245835326458879, '4088': 6.221812521884658, '4148': 1.0348572882357985, '3985': 0.13876032411792494, '5852': 1.8901711621469164, '4371': 6.386879748868523, '5690': 7.326564930181192, '5431': 10.543553028978764, '3914': 26.545759199519708, '6082': 10.02378858287317, '6054': 5.03212117105565, '6095': 1.557854175879954, '5899': 7.056730783651057, '3987': 1.945477868876867, '6036': 2.9961561483634753, '3941': 5.6843609009082225, '6089': 5.134334785701299, '5698': 4.451992252180559, '6058': 2.9827409283360558, '6056': 0.23684697378172181, '3919': 10.075844154619617, '4168': 1.7124475792981684, '5742': 0.8027070675045251, '4072': 16.016651884534514, '6098': 0.5106676726487702}",7.657253042,
1957-07-01 13:00,"{'5836': 5.391065706875347, '4258': 5.203707129132681, '4155': 0.7158490579182626, '4048': 0.9094210465509605, '5387': 6.162500477876801, '6098': 7.9123856039580325, '6095': 0.67947168980798, '5081': 0.08355101367260431, '4053': 2.2451242265531164, '4200': 2.9303431887723264, '4110': 0.08552791620604694, '4562': 0.5401648836118511, '5966': 7.605942538762747, '5912': 5.4739376658511105, '5781': 1.1253572194150587, '5798': 1.2710827024819764, '6019': 0.1750110872555526, '5715': 1.8440393026398283, '6089': 8.100420685496202, '6058': 3.850801216482222, '5698': 3.507425573146918, '4211': 0.20839776005595922, '5920': 5.038600767077878, '6056': 0.7877855934215292, '3956': 0.2648140036396853, '3914': 2.8368125129727444, '6082': 2.7774721648365386, '6036': 1.0252344995391987, '3923': 0.7733254619698755, '5133': 0.5782069282223574}",2.670125987,
1958-07-01 13:00,"{'4048': 13.092742724784621, '4850': 2.101197776522895, '5607': 1.785870420280844, '5250': 18.885634199762716, '4192': 9.474737014617222, '4110': 8.831666804929387, '5905': 2.084806011826359, '3960': 3.4556185867637392, '3915': 5.685272332984004, '4006': 6.318343459094512, '5986': 26.830467237292986, '4583': 2.6484443465414125, '4155': 15.114978801410928, '5715': 13.320801566184423, '3914': 4.918013814965093, '5431': 20.595040263887086, '4371': 2.6544586229854303, '5785': 16.016830717873965, '4209': 0.058177807046655095, '6094': 8.597425343502346, '6056': 4.212205981876878, '5920': 16.251827521249652, '5953': 29.90704394574277, '5798': 0.8249435522018986, '5878': 8.610080882136083, '6082': 4.9856025064447635, '6089': 9.952317937878206, '6083': 4.730786740787295, '6098': 9.235010265834529, '6095': 5.626212411847591, '6058': 0.8525662373289833, '5698': 6.905800825282427}",8.892653958,
1959-07-01 13:00,"{'4993': 12.622483626029839, '5568': 7.039566583931446, '4042': 10.291657436247146, '5633': 15.156869128321933, '5833': 7.973010294475207, '5930': 17.564810569236077, '3920': 5.435534360352904, '4215': 9.88709719920531, '4583': 0.5259671080966655, '6089': 1.0621625326494097, '4178': 0.6809416988751309, '5995': 2.684823581384274, '6083': 0.07588193371211105, '3924': 0.8908810936832197, '5786': 7.570760480523601, '4005': 7.943920170815659, '5946': 6.377514622635587, '5726': 1.2643149846816897, '4417': 4.382129363667104, '5798': 0.16580763091701556, '4110': 13.67882127160334, '3936': 8.491247460932755, '6058': 3.1821130151991115, '6094': 0.9237864570371492, '6082': 1.6374501264317332, '3914': 1.978044341289251, '6024': 0.024459816548710656, '5690': 2.38811107551561, '5698': 1.1836576836261195, '5920': 6.642513224016875, '6095': 1.5676530857094673, '3926': 2.574847748766075}",5.120901241,
1960-07-01 13:00,"{'5837': 22.215485993074253, '4808': 1.1601335314484988, '4307': 4.630506294549449, '5984': 0.08944612001755559, '5365': 0.7889472602523632, '4152': 3.643364941305082, '3943': 5.948100538784638, '6058': 1.2374085414098204, '6083': 0.03712041191282067, '4674': 4.869651720822731, '4172': 3.398471769382013, '5864': 0.5184951644935154, '5946': 0.679724873601939, '5936': 0.9614063675334137, '4192': 0.3539628900259686, '4055': 8.027995090282957, '6094': 12.788133155382003, '5798': 3.1039847470949553, '5785': 0.18997640060501128, '3914': 5.263289008406764, '6087': 3.6328829964029863, '4102': 3.3997559067192924, '5167': 0.5836773760089361, '4208': 0.263694162160391, '3920': 4.51584520470351, '6082': 1.8074524616378937, '6034': 5.549076574646847, '5715': 2.955007432272623, '6089': 7.240068038325489, '6095': 0.09264752601611725, '5920': 5.271775665285531, '6056': 3.3972543102407844, '6098': 6.888361110896335, '3924': 1.360175727432079, '5698': 1.7308930178563289, '3926': 0.09324764267844321}",3.574650555,
1961-07-01 13:00,"{'3969': 0.6567682810183157, '5499': 0.5146260642206495, '5609': 6.39633530932017, '5079': 3.884211057388717, '6094': 1.273125290064522, '5887': 5.1974641418360115, '5766': 0.5818097449742474, '5785': 0.12231131381462035, '3940': 1.1076560809066283, '5788': 0.26422922084520195, '4190': 7.531362572019134, '4961': 5.745120905165095, '4208': 8.577723455613304, '4625': 9.189524545922747, '6089': 1.2131111526430995, '5798': 1.8167813334688194, '3985': 4.038664649240673, '5690': 3.309662029284964, '6036': 4.633963968395255, '4141': 3.7726389604387807, '3919': 8.47238345906484, '3914': 6.769564376192602, '5920': 0.4036733655048863, '6087': 1.2520979840364563, '3987': 3.0789219047929737, '6095': 0.38683396310738627, '6049': 8.567737960926024, '6058': 0.12416834604812577, '6082': 1.0834702789441906, '4188': 1.6452693290131064, '5698': 2.613058682482063, '6098': 0.8230360718848537, '4110': 0.5682216337881982, '3926': 1.2523304501470083}",3.143172291,
1962-07-01 13:00,"{'4215': 0.010870208123947123, '5222': 0.011326735955663025, '4477': 0.003561938792699948, '4569': 0.18190901622938327, '5574': 0.0385977412593661, '5798': 5.968785432269215, '4097': 0.07582946833861115, '4076': 0.03759571246405358, '5878': 3.3729164882327156, '3943': 1.0566822631303394, '5936': 0.10361991431230422, '5893': 1.2264708789862653, '6026': 0.11730701856545066, '5836': 0.21697025573611683, '4038': 0.2636020473533165, '5981': 0.00809781153409972, '4176': 0.00039907028748727743, '4660': 0.035054684526873, '5698': 4.284553131182351, '6089': 2.3161187736315405, '5431': 1.518809842342975, '6095': 0.12355327242985231, '3926': 0.021253867272765778, '6098': 0.8193426414916652, '6082': 2.198950511252072, '6087': 3.9084788506001304, '3914': 0.06538661609047705, '6034': 0.009800122450101867, '5948': 0.3646819554560352, '3919': 0.030311015550978482, '4178': 0.0067784944406208475, '5715': 2.8384235473647212, '3917': 1.733348932582885, '6094': 0.8430714713884144, '6083': 0.3946124770154711, '6058': 0.4954630732635631}",0.963959313,
1963-07-01 13:00,"{'4166': 2.5642295464759, '4257': 4.180388233623205, '5905': 33.11291593031492, '4487': 0.8289788720430806, '5824': 11.038544741497407, '6098': 1.623835377409705, '4172': 8.562164074217897, '4154': 7.614002011694693, '4810': 0.4997255561374345, '4093': 0.702751071505304, '4058': 1.4906297367531807, '3926': 4.153985621035099, '3965': 6.307829356974027, '3915': 4.209922041023194, '5482': 2.8533927854266947, '6026': 21.26106454733928, '5627': 1.9071823763060376, '5852': 1.505599791117774, '5690': 2.8935422714699, '5707': 7.388355689812581, '5032': 0.19299153583895015, '6048': 4.45707851679066, '4644': 1.267283501336351, '6094': 0.18152248591650277, '5798': 6.395411660078665, '6036': 0.809391505311913, '3914': 1.8917954349890351, '6058': 9.559899196756305, '5698': 0.10130120464600623, '6095': 0.3563914700644091, '6087': 0.36088116746395826, '6082': 2.8191937210503966, '4036': 1.3614787484742266, '6089': 0.24203399056568742, '4168': 7.482204423751682}",4.633654234,
1964-07-01 13:00,"{'4156': 1.0561774015712495, '4875': 5.361609832267277, '5863': 0.09883604873156349, '5527': 1.5539701690620786, '5899': 0.4058293056872344, '5995': 2.613986805733293, '4233': 11.558751882268433, '5400': 1.5108390132516334, '5577': 0.1904124316786806, '3914': 2.7699067648849223, '4590': 9.440805415822524, '4036': 0.28023218208007933, '5893': 0.35699040752589895, '3952': 3.743538088567152, '4135': 2.2813015592982993, '6043': 0.17555421064628263, '5875': 0.4379826448857784, '6083': 2.160261514654735, '6095': 1.6622050966885638, '4172': 0.8311982252635062, '5715': 8.535684376582504, '6034': 0.7383457818197883, '3993': 3.37431326254989, '3919': 4.112987332637886, '3996': 1.3183382656425238, '3926': 0.7677345980588939, '5698': 8.229370958982145, '5800': 0.8476124325599017, '6089': 4.517703416163869, '6052': 0.6893881498835981, '6094': 6.007084675818993, '6058': 1.211524816779388, '6082': 4.576864988362734, '6098': 2.6894455306510077, '6090': 3.7232172571002478}",2.852285853,
1965-07-01 13:00,"{'5411': 0.0024032488345255842, '4690': 0.15597559473869893, '4235': 0.003267722987175148, '4511': 0.05741345386111533, '5671': 0.007534695720941453, '4076': 5.9877358816315835, '5932': 0.10433697999341034, '5796': 0.2561422562863997, '4069': 0.13295121410806132, '5663': 0.6826160893565429, '5595': 0.012952912393075167, '5981': 0.4959277261689425, '6088': 2.390010161790997, '5672': 0.21387847422852246, '3914': 8.045916415937246, '6052': 0.4409154951234324, '5698': 0.5334697816557081, '3954': 5.940709327097704, '4115': 0.04618504509949162, '4168': 3.1180959908293744, '3996': 7.4488129713513445, '3926': 0.32094275040435605, '4647': 1.2715598729274582, '6098': 1.6508957478683441, '6095': 1.7368218408664688, '3977': 7.84290808948581, '6090': 0.5410212067654356, '6089': 0.6959565214347094, '3920': 7.152341573775004, '5800': 0.012741267817091284, '6058': 3.35004570055753, '5684': 2.9093779549433973, '6084': 7.409108384877456, '6083': 19.310418539936656}",2.655335026,
